"variable_id","mz","rt","condition","polarity","mean_intensity"
"M106T979_POS",105.971204965624,979.327728271484,0.0664630195773037,"positive",2242748.90173742
"M174T970_POS",173.960821064051,970.338684082031,0.0664079982873288,"positive",70427531.0150957
"M148T590_POS",148.051008174475,590.109313964844,0.0660718389989399,"positive",17690973.8159708
"M95T126_POS",95.0491699368753,125.675903320312,0.0659718096743889,"positive",49236788.683251
"M179T352_POS",179.076444036752,352.148223876953,0.0651578455628459,"positive",38469135.7820648
"M168T823_POS",168.023418528411,823.273498535156,0.0647694226851589,"positive",14222277.2705307
"M79T655_POS",79.0752316164338,655.234008789062,0.064755412975838,"positive",8964277.24230703
"M127T827_POS",126.981440764161,827.208435058594,0.0645465945716447,"positive",16857699.9843093
"M90T50_POS",89.7570832058628,50.2359161376953,0.0644838163268248,"positive",3085129.98065347
"M158T419_POS",158.154060440109,418.905944824219,0.0641787880872531,"positive",23479289.0645057
"M160T74_POS",160.133197016433,74.046501159668,0.0640979151968156,"positive",13155179.5803497
"M149T589_POS",149.04779603178,588.942474365234,0.0639689521357513,"positive",18119168.8148017
"M159T990_POS",159.012808919475,989.869995117188,0.0639335886800129,"positive",6277733.13743113
"M114T74_POS",114.12776207876,74.0497169494629,0.0639123381630325,"positive",7070474.74251513
"M133T458_POS",133.064802033916,458.037567138672,0.0637605761434313,"positive",1534582.0840378
"M179T949_POS",179.039974256738,949.314270019531,0.0631941857161818,"positive",44509137.3769453
"M166T182_POS",166.048176888656,182.021224975586,0.0631529234354662,"positive",47109541.4939684
"M148T839_POS",147.981575377136,839.371032714844,0.0630956163508126,"positive",24342559.4725649
"M129T36_POS",129.065784590737,35.9842567443848,0.0629917232959015,"positive",18891506.3655662
"M140T182_POS",140.068235243579,181.826736450195,0.0627988464662091,"positive",30271631.1525995
"M119T918_POS",119.018939215169,918.294860839844,0.0625457573805618,"positive",89558639.8334944
"M97T33_2_POS",97.0284504193391,33.4873085021973,0.062091297157255,"positive",31072090.7477228
"M179T542_POS",179.076477719795,541.791534423828,0.061946598980564,"positive",70703102.5709656
"M155T960_POS",155.02941039873,960.422790527344,0.061884617077116,"positive",22920632.6445922
"M179T588_POS",179.000121892446,588.458129882812,0.0611747524793583,"positive",62859629.5840752
"M147T367_POS",147.050304565139,366.737365722656,0.0611691928368173,"positive",182424498.688228
"M136T823_POS",136.036193154888,822.708923339844,0.0610816247800306,"positive",15732909.8794854
"M147T208_POS",147.050412003952,207.902969360352,0.0607868604959193,"positive",65542143.7437237
"M163T521_POS",163.132674356627,520.685516357422,0.0607795164588227,"positive",8871728.30865683
"M160T35_POS",160.060476236175,35.1990623474121,0.0607511283636198,"positive",113024770.006746
"M178T37_POS",178.010380466161,36.9610595703125,0.0606907686370405,"positive",19512044.23524
"M103T338_POS",103.006684861228,338.179656982422,0.0605492410787747,"positive",47259110.7839161
"M175T36_POS",175.001671147238,36.27077293396,0.060351025812478,"positive",40112216.7805761
"M129T37_POS",129.090964310957,36.8386325836182,0.0603376502268422,"positive",7804732.0116439
"M170T164_POS",170.046877762513,163.557693481445,0.0600541379513749,"positive",1839078.92753336
"M111T921_POS",111.023266217237,921.082702636719,0.0598241722596383,"positive",7516897.00533682
"M163T36_POS",163.086608471301,35.5824279785156,0.059727829700698,"positive",2301568.37889265
"M179T755_2_POS",179.07638845562,755.285827636719,0.0595891630725462,"positive",65499120.9868867
"M164T756_POS",164.030992100834,756.479339599609,0.0589906682903583,"positive",64568749.7206582
"M172T520_POS",172.141230760852,520.114440917969,0.0587852269634645,"positive",9261890.15766401
"M105T824_POS",105.002367607566,823.572265625,0.0586771752369444,"positive",31174107.9959213
"M134T974_POS",133.966241117414,973.649261474609,0.0586234221943395,"positive",4403466.92490645
