variable_id,mz,rt,condition,polarity,mean_intensity
M107T84_POS,107.0603686,84.15315247,0.011372699,positive,31943522.86
M107T37_POS,107.0855391,37.07676697,-0.0291472,positive,6327729.674
M108T846_POS,107.9715084,846.3299561,0.072293964,positive,66463961.98
M108T33_2_POS,108.0524465,33.1620369,-0.103644154,positive,2309195.377
M109T866_POS,108.9582763,865.9847107,0.022674007,positive,303767154.1
M109T896_POS,108.958293,896.0354614,-0.015732373,positive,88806219.16
M109T949_POS,108.9583101,949.019165,0.042078929,positive,99521173.79
M109T974_POS,108.9583176,973.7976379,0.010488996,positive,105763689
M109T1003_POS,108.9583202,1002.580322,-0.007300224,positive,89822733.52
M109T921_POS,108.9583042,920.7698975,0.03268912,positive,140256733
M109T36_POS,109.1012142,35.71330643,0.028478421,positive,27078406.9
M109T246_POS,109.1012459,245.5723724,-0.05350252,positive,19462552.97
M110T38_POS,110.0349197,38.24563599,-0.033906343,positive,4446782.843
M110T35_POS,110.0601705,34.52773476,-0.100655883,positive,5137241.891
M110T266_POS,110.0713155,265.6861267,0.167108875,positive,5240940.649
M111T852_POS,111.0232343,851.6835327,0.077254448,positive,74013672.38
M111T887_POS,111.0232556,886.7139893,0.023010682,positive,13259473.6
M111T921_POS,111.0232662,921.0827026,0.059824172,positive,7516897.005
M111T947_POS,111.0232689,946.7671204,-0.034530247,positive,7271540.743
M111T963_POS,111.023272,962.6036377,-0.013422467,positive,6570744.447
M111T995_POS,111.0232725,995.2625122,-0.007425456,positive,6359364.048
M111T36_2_POS,111.0804618,35.87099075,0.004035947,positive,20587261.68
M111T279_POS,111.0805024,278.834137,0.00408967,positive,6605319.953
M111T564_POS,111.1168573,564.2663574,0.01823576,positive,3059297.785
M111T520_POS,111.1168804,520.0840759,0.045724698,positive,7771483.539
M111T473_POS,111.1168679,472.9595032,-0.038984538,positive,1110834.95
M111T201_POS,111.1168739,201.056076,0.02979964,positive,9454873.076
M112T33_POS,112.050533,33.1697998,-0.013290156,positive,3979571.174
M112T46_POS,112.112057,46.42146301,0.03744198,positive,1938886.785
M112T564_POS,112.1201812,563.9883118,0.019761816,positive,900646.3924
M112T520_POS,112.120229,520.2294922,0.092020446,positive,431784.4735
M112T201_POS,112.1202184,201.0322266,0.032704619,positive,15858613.47
M113T986_POS,113.0189917,985.8413391,0.015924955,positive,4727046.279
M113T33_POS,113.034453,33.01450157,0.005756737,positive,12976500.52
M113T850_POS,113.0188675,850.2346191,0.01981902,positive,38827349.56
M113T934_POS,113.01897,934.0853271,0.029581118,positive,5153430.839
M113T888_POS,113.0189283,887.956543,0.018426882,positive,7957980.196
M113T36_POS,113.0596921,36.02033806,0.047260486,positive,8360909.541
